Subject,Release,Acquisition,Gender,Age,PicVocab_AgeAdj,ProcSpeed_AgeAdj,AngAffect_Unadj,AngHostil_Unadj,AngAggr_Unadj,FearAffect_Unadj,FearSomat_Unadj,Sadness_Unadj,LifeSatisf_Unadj,MeanPurp_Unadj,PosAffect_Unadj,Friendship_Unadj,Loneliness_Unadj
135427,S900,Q07,M,22-25,101.7737,68.79,52,56.4,60.3,51.2,47.2,60.5,38.8,49.5,46.2,50.1,64.9
135528,S500,Q05,F,26-30,94.03,90.71,44.2,45,43.4,54.9,40.1,46.1,65.8,57.6,50.2,66.5,37.6
135730,S900,Q9,M,22-25,108.0206,123.33,44.9,56.7,63.4,58,61,49.8,35.6,43.2,48.4,47.4,54.9
135932,Q2,Q02,F,26-30,102.55,123.87,47.5,57.4,43.4,49,49.8,46.1,71.9,58,52.7,61.3,52
136227,S500,Q07,M,31-35,105.9724,78.35,51,49.3,51.2,53.7,56.7,48.2,46.5,46.8,46.2,47.6,53.8
136732,S900,Q07,F,31-35,96.83624,129.86,37.4,40.5,49.8,32.9,60.1,34.2,57.1,65.7,52.7,44.2,53.7
136833,Q2,Q02,M,31-35,128.32,97.23,45.6,36.6,43.4,49,55.9,41.2,74.6,55.8,52.7,49.4,47.4
137027,S500,Q05,M,31-35,101.47,101.56,37,47.1,43.4,32.9,40.1,34.2,41.3,51.9,50.2,57.4,37.6
137128,Q1,Q02,F,31-35,106.01,108.5,46.8,36.6,43.4,44.3,44.8,46.1,55,46.1,50.2,54.7,51.6
137229,S900,Q10,M,22-25,126.9509,90.9,41.5,59.6,43.4,47.2,46.4,48.2,48.5,59.6,71.6,55.6,52
137633,S500,Q06,F,22-25,101.4653,97.87,46.5,40.5,43.4,49,58.2,42.5,62.9,71.6,64.5,66.5,52
137936,S500,Q05,M,31-35,84.36,83.55,28.6,46.8,64,32.9,40.1,34.2,52,44.2,46.5,66.5,74.1
138231,Q1,Q01,F,31-35,87.03,100.91,52,51.1,43.4,51.4,60.3,44.7,55,48.1,42.7,53.1,53.7
138534,Q3,Q03,M,22-25,99.55,84.33,36.2,41.4,43.4,32.9,40.1,34.2,52.6,53.8,55.1,66.5,37.6
138837,S900,Q11,M,22-25,82.32327,80.54,54.1,52.7,60.7,60.5,40.1,53.3,43.1,38.7,42,51.2,63.8
139233,S500,Q04,F,31-35,107.27,105.4,42.7,40.5,43.4,47.3,44.8,34.2,62.8,65.7,63.8,66.5,37.6
139637,Q2,Q03,F,31-35,107.24,110.13,44.3,57.7,43.4,51.2,57.5,42.6,55,54,46.2,50.9,56.1
139839,S900,Q07,M,26-30,129.6745,137.14,50.1,48,58.4,49.6,54.7,50.9,55,50,54.2,54.2,52
140117,S500,Q04,F,26-30,83.42,86.02,52.8,58.1,58.9,49.2,50.5,62.2,48.3,44.5,55.7,62,55.5
140319,S900,Q08,F,36+,109.9576,131.33,57.3,36.6,58.2,60.3,61.5,53.5,57.2,63.4,48.4,60.9,50.3
140420,Q2,Q02,F,26-30,96.17,85.38,59.2,48.2,43.4,59,62.5,64,35.3,40.8,35,48.4,56.5
140723,S900,Q07,M,31-35,96.04884,71.99,33.4,44.8,43.4,37.2,40.1,34.2,55,46.8,50.2,41.2,55.2
140824,Q3,Q04,M,31-35,123.88,97.73,51.8,47.8,78.7,60.3,69.5,49.9,55,50,44.1,55.2,53.8
140925,S500,Q04,F,22-25,69.7,87.12,67.6,62.9,61.6,70.8,60.1,64,31.3,36.2,40.2,30.1,77.4
141119,S900,Q9,M,26-30,120.3801,116.46,48.8,52.2,63.5,53.1,47,34.2,59.7,58.1,52.8,62,53.7
141422,S500,Q06,F,31-35,118.2637,109.72,46,59,58.5,46.2,44.8,43.8,62.8,50,48.4,42.4,53.7
141624,S900,Q05,F,22-25,75.3,101.64,39.2,55.1,66.3,45.9,40.1,45.5,43.7,40.5,51.6,34.9,44.9
141826,S500,Q04,F,26-30,81.94,96.45,37.4,36.6,43.4,44.3,40.1,34.2,64.5,67.7,59.7,57,37.6
142424,Q3,Q03,M,26-30,70.11,72.45,69.6,59.8,62,56,61.2,60.5,44.9,42.1,45.6,40.3,62.1
142828,Q1,Q01,M,31-35,105.96,118.02,54.6,42.4,56.9,46,56.5,45.8,57.1,53.6,54.7,49.6,43.6
143325,Q1,Q01,F,31-35,109.54,91.73,44.3,67,55.7,56,54.4,49.4,37.9,42.7,48.4,29.7,69.6
143426,S900,Q11,F,26-30,95.94632,91.83,54.8,45.1,43.4,51.2,55.9,45.6,57.3,46.5,48.4,50.8,54.9
143527,Q3,Q04,M,26-30,114.71,75.64,48.1,48.8,73.1,40.9,49.8,44.4,36.7,46.3,55.7,56.2,37.6
144125,S900,Q12,F,31-35,74.10113,75.06,42.4,36.6,43.4,32.9,40.1,34.2,74.6,66.5,58.7,66.5,47.4
144226,Q1,Q01,F,31-35,85.34,97.78,36.1,54.8,43.4,44,44.8,44.7,43.1,42.1,38.4,40.3,47.4
144428,S900,Q02,M,22-25,106.32,107.98,60.7,57.6,62.5,56,51.7,69.5,43.8,40.8,31.4,41.2,62.2
144731,S900,Q10,F,26-30,132.7172,104.04,51,50.1,43.4,55.7,62.1,44.8,62.8,57.9,59.2,39.8,51
144832,S500,Q06,F,22-25,113.5742,125.28,47.5,43.3,43.4,46.7,48.9,43,51.7,50,50.2,47.1,47.4
